Date,Category,RefNo,Date,Withdrawal,Deposit,Balance
2023-03-09,Food,3.43E+11,2023-03-09,160.87,0,1292.52
2023-03-10,Food,3.07E+11,2023-03-10,50,0,1242.52
2023-03-10,Food,3.44E+11,2023-03-10,50,0,1192.52
2023-03-10,Food,3.07E+11,2023-03-10,214.96,0,977.56
2023-03-10,Misc,3.07E+11,2023-03-10,0,300,1277.56
2023-03-10,Food,3.07E+11,2023-03-10,70,0,1207.56
2023-03-11,Food,3.07E+11,2023-03-11,62,0,1145.56
2023-03-11,Misc,3.44E+11,2023-03-11,0,210,1355.56
2023-03-11,Misc,3.07E+11,2023-03-11,500,0,855.56
2023-03-11,Food,3.44E+11,2023-03-11,60,0,795.56
2023-03-11,Food,3.44E+11,2023-03-11,25.3,0,770.26
2023-03-12,Misc,3.07E+11,2023-03-12,300,0,470.26
2023-03-12,Food,3.07E+11,2023-03-12,30,0,440.26
2023-03-12,Food,3.07E+11,2023-03-12,40,0,400.26
2023-03-12,Food,3.44E+11,2023-03-12,54,0,346.26
2023-03-12,Food,3.44E+11,2023-03-12,40,0,306.26
2023-03-13,Food,3.07E+11,2023-03-13,20,0,286.26
2023-03-13,Food,3.07E+11,2023-03-13,47,0,239.26
2023-03-13,Food,3.44E+11,2023-03-13,65,0,174.26
2023-03-13,Food,3.07E+11,2023-03-13,50,0,124.26
2023-03-13,Food,3.07E+11,2023-03-13,85,0,39.26
2023-03-14,Misc,3.07E+11,2023-03-14,0,1000,1039.26
2023-03-14,Food,3.44E+11,2023-03-14,79,0,960.26
2023-03-14,Food,3.07E+11,2023-03-14,30,0,930.26
2023-03-14,Food,3.07E+11,2023-03-14,55,0,875.26
2023-03-15,Food,3.44E+11,2023-03-15,33,0,842.26
2023-03-15,Food,3.44E+11,2023-03-15,50,0,792.26
2023-03-15,Food,3.07E+11,2023-03-16,55,0,737.26
2023-03-16,Misc,3.08E+11,2023-03-16,136,0,601.26
2023-03-16,Food,3.44E+11,2023-03-16,50,0,551.26
2023-03-16,Food,3.44E+11,2023-03-16,35,0,516.26
2023-03-16,Food,3.08E+11,2023-03-16,30,0,486.26
2023-03-16,Food,3.08E+11,2023-03-16,65,0,421.26
2023-03-17,Food,3.08E+11,2023-03-17,50,0,371.26
2023-03-17,Food,3.08E+11,2023-03-17,30,0,341.26
2023-03-17,Food,3.08E+11,2023-03-17,30,0,311.26
2023-03-17,Food,3.08E+11,2023-03-17,75,0,236.26
2023-03-18,Food,3.44E+11,2023-03-18,30,0,206.26
2023-03-18,Food,3.08E+11,2023-03-18,35,0,171.26
2023-03-18,Food,3.08E+11,2023-03-18,30,0,141.26
2023-03-19,Food,3.44E+11,2023-03-19,61,0,80.26
2023-03-19,Food,3.08E+11,2023-03-19,30,0,50.26
2023-03-19,Food,3.08E+11,2023-03-19,10,0,40.26
2023-03-20,Food,3.08E+11,2023-03-20,30,0,10.26
2023-03-21,Misc,3.08E+11,2023-03-21,0,60,70.26
